,2,2,2,2,2,2,2,2,2,1,,
,,,,,,,,,1,1,0,
,,,,,,,,-2,-1,0,-1,2
,,,,,,,,-1,-1,1,,1
,,,,,,,,-3,-2,,,2
,,,,,,,,-7,-5,,,
,,,,,,,,,1,0,1,
,,,,,,,,0,0,0,0,
,,,,,,,,2,1,0,,
,,,,,,,5,2,1,,,
,,,,,,,15,6,3,,,1
,,,,,,,20,8,,,,
,,,,,,,2,1,0,,,
,,,,,,27,11,5,1,,,
,,,,,,32,13,6,,,,1
,,,,,,59,24,,,,,4
,,,,,,268,109,,,,,
,,,,,,9,4,1,,,,
,,,,,,16,7,2,,,,
,,,,,,25,11,,,,,
,,,,,283,116,51,,,,,1
,,,,,344,141,62,,,,,
,,,,,,9,2,,,,,
,,,467,194,79,36,7,,,,,
,,,585,243,99,45,9,,,,,1
,,,1052,437,,,,,,,,
,,,246,100,46,8,,,,,,
,,594,247,100,47,6,,,,,,
,,1186,493,200,,,,,,,,6
,,7710,3205,,,,,,,,,1
,,8896,3698,,,,,,,,,
,,225,91,43,,,,,,,,
,,169,66,37,,,,,,,,
7169,2965,1239,487,,,,,,,,,
8146,3369,1408,553,,,,,,,,,
1946,835,276,283,,,,,,,,,
3000,1276,448,380,,,,,,,,,
